stop_id,stop_name,stop_lon,stop_lat
41226,CARTIER/15E RUE,-73.695977,45.557695
41227,CARTIER/PERRIN,-73.698869,45.55688
41228,CARTIER/PERRIN,-73.699328,45.556402
41229,CARTIER/AMPERE,-73.701924,45.555102
41230,CARTIER/J.-J.-JOUBERT,-73.670712,45.572771
41231,CARTIER/AMPERE,-73.70205,45.554661
41232,CARTIER/LAVAL,-73.706875,45.552411
41233,CARTIER/LAVAL,-73.706461,45.552466
41234,CARTIER/B.PASTEUR,-73.708878,45.551481
41235,CARTIER/B.PASTEUR,-73.708929,45.551283
41236,CARTIER/MARIALE,-73.711384,45.550289
41237,CARTIER/MARIALE,-73.711422,45.550091
41238,CARTIER/DUSSAULT,-73.712675,45.549665
41239,CARTIER /DUSSAULT,-73.712815,45.549413
41240,CARTIER/GIROUX,-73.714273,45.548897
41241,S. HUBERT/CARTIER,-73.680109,45.5611
41242,CARTIER/GIROUX,-73.714438,45.548528
41243,CARTIER/VERDI,-73.715551,45.548022
41244,CARTIER/VERDI,-73.715703,45.547779
41245,CARTIER/CLERMONT,-73.717276,45.547173
41246,CARTIER/CLERMONT,-73.717391,45.54693
41247,CARTIER/A.-FRAPPIER,-73.721482,45.54514
41248,CARTIER/MICRO,-73.720203,45.545566
41249,CARTIER/58E AV.,-73.723335,45.544228
41250,CARTIER/58E AV.,-73.723411,45.544003
41251,CARTIER/D. JOHNSON,-73.724971,45.543415
41252,CARTIER/D. JOHNSON,-73.725175,45.543144
41253,CARTIER/64E AV.,-73.728179,45.541906
41254,CARTIER/63E AV.,-73.727066,45.542169
41255,CARTIER/66E AV.,-73.729943,45.541056
41256,CARTIER/66E AV.,-73.730018,45.54075
41257,CARTIER/68E AV.,-73.731412,45.540352
41258,CARTIER/67E AV.,-73.731028,45.540262
41259,CARTIER/70E AV.,-73.733034,45.539277
41260,CARTIER/CHOMEDEY,-73.733598,45.539312
41262,CARTIER/CHOMEDEY,-73.734428,45.538807
41263,CARTIER/73E AV.,-73.73471,45.538959
41267,CARTIER/BAYEUX,-73.68854,45.559129
41268,DAGENAIS/CORBUSIER,-73.760385,45.591841
41269,CHAMPAGNE/PRINCIPALE,-73.796675,45.537078
41270,CHAMPAGNE/S. MARTIN,-73.799222,45.539222
41271,CHAMPAGNE/FACE AU 980,-73.798425,45.538729
41272,CHARTRAND/DÉRY,-73.576465,45.667472
41273,CHARTRAND/MONTY,-73.578158,45.66649
41274,CHATEAUX/CHOMEDEY,-73.74808,45.553949
41275,CHATEAUX/FACE AU 3280,-73.745715,45.554854
41276,CHATEAUX/FACE AU 3275,-73.745958,45.554934
41277,CHATEAUX/D. JOHNSON,-73.743628,45.556035
41278,CHATEAUX/D. JOHNSON,-73.743773,45.556145
41279,PL.CHENIER/VANIER,-73.659887,45.614006
41280,PL.CHENIER/VANIER,-73.659105,45.613982
41281,CHENIER/BELLEVILLE,-73.656378,45.615237
41282,CHENIER/MGR-BOURGET,-73.657031,45.614822
41283,CHOMEDEY/CARTIER,-73.733223,45.538593
41284,CHOMEDEY/MONOD,-73.741673,45.547169
41285,CHOMEDEY/FACE AU 1085,-73.742395,45.548418
41286,CHOMEDEY/CARDINAL,-73.743654,45.549162
41287,CHOMEDEY/SOUVENIR,-73.745096,45.550932
41288,CHOMEDEY/SOUVENIR,-73.745569,45.550886
41289,CHOMEDEY/CHATEAUX,-73.748232,45.553454
41290,CHOMEDEY/CHATEAUX,-73.74895,45.55365
41291,CHOMEDEY/CARDINAL,-73.74351,45.549499
